date,gross,net,n_long,n_short,regime
2022-04-15,-0.005013727970271696,-0.006613727970271696,6,6,low
2022-04-16,-0.006052849494447414,-0.007652849494447414,6,6,low
2022-04-17,-0.00909742702608382,-0.010697427026083822,6,6,low
2022-04-18,0.010886802903500562,0.009286802903500561,6,6,low
2022-04-19,0.0017369047598450107,0.00013690475984501067,6,6,low
2022-04-20,0.00990053207047903,0.00830053207047903,6,6,low
2022-04-21,0.0010535048098398083,-0.0005464951901601918,6,6,low
2022-04-22,-0.004728928904687777,-0.006328928904687777,6,6,low
2022-04-23,-0.0035593459711905154,-0.005159345971190515,6,6,low
2022-04-24,0.010169524668674025,0.008569524668674024,6,6,low
2022-04-25,0.020235050965828952,0.018635050965828952,6,6,low
2022-04-26,0.021643004504887996,0.020043004504887996,6,6,low
2022-04-27,0.05929732413598984,0.057697324135989846,6,6,low
2022-04-28,0.04181826385996335,0.040218263859963355,6,6,low
2022-04-29,0.006362602210588056,0.004762602210588056,6,6,low
2022-04-30,0.00809249850594995,0.0064924985059499505,6,6,low
2022-05-01,-0.007177829607000412,-0.008777829607000413,6,6,low
2022-05-02,-0.009714729327317987,-0.011314729327317988,6,6,low
2022-05-03,0.0002851279971560561,-0.001314872002843944,6,6,low
2022-05-04,0.04263249218172183,0.041032492181721836,6,6,low
2022-05-05,0.058466154172040166,0.05686615417204017,6,6,low
2022-05-06,0.03235839685939974,0.030758396859399743,6,6,low
2022-05-07,0.009533390409178014,0.007933390409178013,6,6,low
2022-05-08,0.004819335252260554,0.003219335252260554,6,6,low
2022-05-09,0.03268488337029275,0.031084883370292752,6,6,low
2022-05-10,-0.03779715096965325,-0.039397150969653245,6,6,high
2022-05-11,0.015729240294200544,0.014129240294200544,6,6,high
2022-05-12,0.049544048541764946,0.04794404854176495,6,6,high
2022-05-13,0.008895574475967442,0.0072955744759674425,6,6,high
2022-05-14,0.011930505781721524,0.010330505781721523,6,6,high
2022-05-15,-0.033920059169839846,-0.03552005916983984,6,6,high
2022-05-16,-0.006016116994150124,-0.007616116994150124,6,6,high
2022-05-17,-0.021431354228286223,-0.023031354228286224,6,6,high
2022-05-18,-0.0037246744012204014,-0.005324674401220401,6,6,high
2022-05-19,0.006318025410435335,0.004718025410435335,6,6,high
2022-05-20,-0.007793250882037499,-0.0093932508820375,6,6,high
2022-05-21,-0.006042825617778376,-0.007642825617778376,6,6,high
2022-05-22,-0.026914377316337817,-0.028514377316337818,6,6,high
2022-05-23,-0.034669875514514406,-0.0362698755145144,6,6,high
2022-05-24,-0.024524923780373943,-0.026124923780373944,6,6,high
2022-05-25,-0.011202132945661393,-0.012802132945661394,6,6,high
2022-05-26,0.010102628632916864,0.008502628632916863,6,6,high
2022-05-27,0.01874141608729655,0.017141416087296548,6,6,high
2022-05-28,0.026650262178836363,0.025050262178836363,6,6,high
2022-05-29,0.0010704211609109983,-0.0005295788390890018,6,6,high
2022-05-30,-0.02524896184760053,-0.02684896184760053,6,6,high
2022-05-31,-0.024244364372304213,-0.025844364372304213,6,6,high
2022-06-01,-0.00691079719432728,-0.00851079719432728,6,6,high
2022-06-02,-0.015695037953828234,-0.017295037953828234,6,6,high
2022-06-03,-0.012102784145922644,-0.013702784145922645,6,6,high
2022-06-04,-0.027213428877072496,-0.028813428877072497,6,6,high
2022-06-05,-0.03834803705800585,-0.03994803705800585,6,6,high
2022-06-06,-0.03540816273550966,-0.03700816273550966,6,6,high
2022-06-07,-0.0017404404350234576,-0.0033404404350234574,6,6,high
2022-06-08,-0.0021792307777347003,-0.0037792307777347,6,6,high
2022-06-09,-0.03204867405306325,-0.033648674053063245,6,6,low
2022-06-10,-0.00394280322597404,-0.00554280322597404,6,6,low
2022-06-11,-0.010892085281518207,-0.012492085281518208,6,6,low
2022-06-12,-0.018600689059655204,-0.020200689059655205,6,6,low
2022-06-13,-0.017091102363482834,-0.018691102363482835,6,6,low
2022-06-14,-0.002451440245909989,-0.004051440245909989,6,6,high
2022-06-15,-0.011641278296134303,-0.013241278296134303,6,6,high
2022-06-16,-0.01240177279703535,-0.01400177279703535,6,6,high
2022-06-17,0.005222655682751466,0.0036226556827514663,6,6,high
2022-06-18,0.025733796487871018,0.024133796487871017,6,6,high
2022-06-19,0.011663368176698642,0.010063368176698641,6,6,high
2022-06-20,0.011124815498085229,0.009524815498085228,6,6,high
2022-06-21,0.016971269845857326,0.015371269845857325,6,6,high
2022-06-22,0.015138413257575409,0.013538413257575408,6,6,high
2022-06-23,-0.0028154743688346973,-0.004415474368834697,6,6,high
2022-06-24,0.007896108286714125,0.0062961082867141254,6,6,high
2022-06-25,0.03883219766422831,0.03723219766422831,6,6,high
2022-06-26,0.019089451639461814,0.017489451639461813,6,6,high
2022-06-27,0.017711210390419695,0.016111210390419694,6,6,high
2022-06-28,-0.01235989104380127,-0.01395989104380127,6,6,high
2022-06-29,0.0011593512736865564,-0.0004406487263134437,6,6,high
2022-06-30,-0.006347570251245991,-0.007947570251245992,6,6,high
2022-07-01,0.019707310579703104,0.018107310579703103,6,6,high
2022-07-02,-0.00026236058771959836,-0.0018623605877195984,6,6,high
2022-07-03,0.01141719401267326,0.00981719401267326,6,6,high
2022-07-04,0.019514420093624543,0.017914420093624542,6,6,high
2022-07-05,0.016247142188509124,0.014647142188509123,6,6,high
2022-07-06,-0.011088759094247502,-0.012688759094247503,6,6,high
2022-07-07,-0.0012888865213731941,-0.002888886521373194,6,6,high
2022-07-08,0.010725440043166695,0.009125440043166694,6,6,high
2022-07-09,0.005526996371710974,0.003926996371710974,6,6,high
2022-07-10,-0.013901386375899133,-0.015501386375899134,6,6,high
2022-07-11,-0.04837512897545744,-0.04997512897545744,6,6,high
2022-07-12,-0.027971025455424868,-0.02957102545542487,6,6,high
2022-07-13,-0.00022230075640342767,-0.0018223007564034277,6,6,high
2022-07-14,-0.0004244246592222875,-0.0020244246592222874,6,6,high
2022-07-15,0.006866552187608552,0.005266552187608552,6,6,high
2022-07-16,-0.006175450511957163,-0.007775450511957163,6,6,high
2022-07-17,0.011621127041063169,0.010021127041063168,6,6,low
2022-07-18,-0.009428239349112442,-0.011028239349112443,6,6,low
2022-07-19,-0.006095284898947041,-0.007695284898947041,6,6,low
2022-07-20,0.019838128969858843,0.018238128969858842,6,6,low
2022-07-21,-0.020374577676897848,-0.02197457767689785,6,6,low
2022-07-22,-0.028830344124086648,-0.03043034412408665,6,6,low
2022-07-23,-0.011872231361561847,-0.013472231361561848,6,6,low
2022-07-24,0.016623542909141104,0.015023542909141104,6,6,low
2022-07-25,0.04296706356575117,0.04136706356575117,6,6,low
2022-07-26,0.012327427265200516,0.010727427265200516,6,6,low
2022-07-27,-0.0041505235628455615,-0.005750523562845561,6,6,low
2022-07-28,-0.01876271446311544,-0.020362714463115442,6,6,low
2022-07-29,0.010133998096410484,0.008533998096410483,6,6,low
2022-07-30,-0.0017084890112582865,-0.0033084890112582864,6,6,low
2022-07-31,-0.004993875884734111,-0.0065938758847341105,6,6,low
2022-08-01,0.01685527838980715,0.015255278389807149,6,6,low
2022-08-02,0.014532882931258342,0.012932882931258341,6,6,low
2022-08-03,0.009845255779430299,0.008245255779430298,6,6,low
2022-08-04,-0.003339322311062383,-0.004939322311062383,6,6,low
2022-08-05,0.014252489978348111,0.01265248997834811,6,6,low
2022-08-06,-0.011420301033760807,-0.013020301033760808,6,6,low
2022-08-07,-0.001076217111389187,-0.0026762171113891868,6,6,low
2022-08-08,0.009665367101454157,0.008065367101454156,6,6,low
2022-08-09,-0.00046803459247478363,-0.0020680345924747835,6,6,low
2022-08-10,-0.020673072356577997,-0.022273072356577998,6,6,low
2022-08-11,-0.010320560973483573,-0.011920560973483573,6,6,low
2022-08-12,-0.01226749737551593,-0.01386749737551593,6,6,low
2022-08-13,-0.013412939680170075,-0.015012939680170076,6,6,low
2022-08-14,-0.014722715982700234,-0.016322715982700235,6,6,low
